run_name,year,step_hr,solve_label,runtime_s,objective,peak_load_mw,total_annual_load_mwh,load_electricity_or_other_mwh,load_heat_mwh,load_high_temp_heat_mwh,load_hydrogen_mwh,load_transport_mwh,cap_gen_Biogas plant_mw,cap_gen_Natural gas_mw,cap_gen_PV ground_mw,cap_gen_nuclear_mw,cap_gen_wind_mw,cap_gen_wind offshore_mw,gen_Biogas plant_mwh,gen_Natural gas_mwh,gen_PV ground_mwh,gen_nuclear_mwh,gen_wind_mwh,gen_wind offshore_mwh,total_generation_mwh,curtailment_total_mwh,curtailment_share_pu,curtailment_wind_mwh,curtailment_wind_share,curtailment_wind_offshore_mwh,curtailment_wind_offshore_share,curtailment_PV_ground_mwh,curtailment_PV_ground_share,storage_power_PSH_mw,storage_energy_PSH_mwh,storage_power_battery_mw,storage_energy_battery_mwh,storage_power_flow_mw,storage_energy_flow_mwh,storage_power_hot_water_mw,storage_energy_hot_water_mwh,storage_power_hydrogen_storage_mw,storage_energy_hydrogen_storage_mwh,storage_power_hydrogen_storage_other_mw,storage_energy_hydrogen_storage_other_mwh,storage_power_transport_mw,storage_energy_transport_mwh,electrolyser_total_mw,heat_pump_total_mw,h2_pipeline_total_mw,chp_h2_total_mw,elec_transmission_total_mw,transmission_mean_utilisation,transmission_peak_utilisation,h2_network_abs_flow_mwh
run_1976_20260417_021020_3hr_Optimal_1256s,1976,3,Optimal,1256.343429306522,78058698286.87956,75468.74167482596,489657098.78669095,172532950.4916975,154067464.1633206,3022372.547435834,94892861.2380657,65141450.34617131,4999.0,20200.0,95898.65941730578,19843.0,36400.0,45343.0,26235404.870094556,7271527.714316241,105288922.795962,139714687.24847943,82107663.50301364,119252440.20665236,479870646.3385182,86178448.29522315,0.2193798902149668,3942118.2210463597,0.045812065319222675,79931549.48063512,0.4012950519072033,2304780.5935416655,0.021421147529405597,9070.0,72560.0,17469.0,34938.0,156.0,57876.0,24798.060169842094,228142.15356254723,8578.464318578232,909317.2177692924,22352.999999999993,536471.9999999998,1859.05965599804,14872.47724798432,21790.010264477613,25346.870808235177,8292.45446585088,917.4989160923334,164939.92773069223,0.7568613384909874,1.0,44912219.60281433
run_1977_20260417_023119_3hr_Optimal_1163s,1977,3,Optimal,1163.1139778215438,77654637986.3699,75987.95835330297,486132800.8322109,172532950.4916975,150543166.20884064,3022372.547435834,94892861.2380657,65141450.34617131,4999.0,20200.0,79679.25635736775,19843.0,36400.0,45343.0,27534618.06551971,3145317.714110078,83563797.80398315,135547416.7918679,87758423.6893951,141700431.45887524,479250005.5237512,71263323.04231863,0.18544346526799702,520151.97454203013,0.005892165461780058,70743171.06777658,0.3329974177919012,1.5795335371365966e-08,1.890212722071024e-16,9070.0,72560.0,17469.0,34938.0,156.0,57876.0,37800.77194341939,347767.1018794584,14892.95608380943,1578653.3448837993,22353.000000000007,536472.0000000002,1859.05965599804,14872.47724798432,24526.173792804642,23606.187919382108,13564.605518161912,917.4989160923334,164678.24055029085,0.7586449636461446,1.0,60465481.95302638
run_1978_20260417_025044_3hr_Optimal_1003s,1978,3,Optimal,1002.7648136503994,78050101183.11557,74356.65248888762,490330302.68648946,172532950.4916975,154740668.06311914,3022372.547435834,94892861.2380657,65141450.34617131,4999.0,20200.000000000004,74485.13142271657,19843.0,36400.0,45343.0,27182411.188703924,3868876.547130037,78905019.56539918,133526358.97141558,91442962.686351,146174532.04766163,481100161.0066614,64440690.721701354,0.16915200699799493,28791.77436650209,0.00031476136580363894,64381902.54631818,0.3057702922756758,29996.401016673542,0.0003800138715299177,9070.0,72560.0,17469.0,34938.0,156.0,57876.0,39662.36870918691,364893.79212451953,15719.968520272269,1666316.6631488602,22352.999999999993,536471.9999999998,1859.05965599804,14872.47724798432,25116.575658444905,26383.9775655888,14790.070522893326,917.4989160923334,166298.87876103993,0.7619331922252199,1.0,71778524.03051762
run_1979_20260417_030730_3hr_Optimal_844s,1979,3,Optimal,844.1812362298369,74325358374.28749,79675.27729471502,489844378.5649489,172532950.4916975,154254743.94157866,3022372.547435834,94892861.2380657,65141450.34617131,4999.0,20200.0,69844.0,19843.0,36400.0,45343.0,25947114.866179205,706138.1287981699,77967742.77129433,132499986.6073241,91858631.11238211,149999142.21531773,478978755.7012956,75758692.62854327,0.191510912107042,566125.0828387015,0.006125253732269469,75192567.54570451,0.3339046878124789,5.7396141698955443e-08,7.361524094306239e-16,9070.0,72560.0,17469.0,34938.0,156.0,57876.0,29097.39402087205,267696.02499202284,8105.153960843434,859146.319849404,22353.000000000004,536472.0000000001,1859.05965599804,14872.47724798432,22148.885637714848,23258.374255433315,8129.8690113214725,917.4989160923334,163010.70177124586,0.7584579694049156,1.0,47151335.0957305
run_1980_20260417_032137_3hr_Optimal_754s,1980,3,Optimal,754.4058486465365,79393650922.42963,76979.74674024942,492310852.2389388,172532950.4916975,156721217.6155685,3022372.547435834,94892861.2380657,65141450.34617131,4999.0,20200.0,79828.8095469145,19843.0,36400.0,45343.0,27154095.60718645,8986743.965152925,80944164.31616333,134950145.10894734,94301693.10755002,135621538.60268146,481958380.70768154,72604300.42189744,0.18933418318579145,585021.9284708883,0.006165477730459664,72019278.49342655,0.3468454781706053,1.0484945290245226e-08,1.2953305996577618e-16,9070.0,72560.0,17469.0,34938.0,156.0,57876.0,27410.994988375987,252181.15389305906,13589.10908214492,1440445.5627073615,22353.000000000007,536472.0000000001,1859.05965599804,14872.47724798432,23293.945227609645,22118.838905924542,12308.860544911455,917.4989160923334,166206.94241457764,0.7581318580958316,1.0,58790444.979255386
run_1981_20260417_033414_3hr_Optimal_813s,1981,3,Optimal,813.1610242277384,75567945544.28246,77204.95712158195,487249779.2665013,172532950.4916975,151660144.64313102,3022372.547435834,94892861.2380657,65141450.34617131,4999.0,20200.0,75180.65652761376,19843.0,36400.0,45343.0,26538504.49042986,992289.1080322488,80789457.76744123,133031118.30690593,94123555.90398537,141764222.2685917,477239147.8453863,71244607.0210092,0.1836571162819929,974162.9596438801,0.010243809959743737,70270444.0613653,0.33141016644901794,1.4240809513392516e-08,1.7627064108272393e-16,9070.0,72560.0,17469.0,34938.0,156.0,57876.0,32690.844047764404,300755.76523943245,9446.882125952508,1001369.505350966,22353.0,536472.0,1859.05965599804,14872.47724798432,23916.1672517312,24854.236697966102,9305.313796572485,917.4989160923334,165831.97204209142,0.7551406003217346,1.0,48949598.56109171
run_1982_20260417_034749_3hr_Optimal_1246s,1982,3,Optimal,1246.329425452277,80402590470.05435,77322.5437929492,484613061.6933873,172532950.4916975,149023427.07001704,3022372.547435834,94892861.2380657,65141450.34617131,4999.0,20200.000000000004,88689.37400562371,19843.0,36400.0,45343.0,26891983.15222496,10780541.55726716,103592691.29963452,133629452.45919465,76837196.34483075,124094240.4371611,475826105.2503131,74177662.39545535,0.19587354551985725,2280850.0961544714,0.028828443051314136,71417181.64259611,0.36528393524481434,479630.65670475474,0.004608628381578447,9070.0,72560.0,17469.0,34938.0,156.0,57876.0,34870.51659433423,320808.75266787485,11474.961358620068,1216345.9040137273,22353.000000000004,536472.0,1859.05965599804,14872.47724798432,23460.400672697106,23813.747428285482,10205.07985857908,917.4989160923334,166223.70769781538,0.7576877339647379,1.0,49134308.59109323
run_1983_20260417_040838_3hr_Optimal_826s,1983,3,Optimal,826.2505437601358,74849430102.47818,76509.40795015586,481734791.13134444,172532950.4916975,146145156.50797412,3022372.547435834,94892861.2380657,65141450.34617131,4999.0,20200.0,69844.0,19843.0,36400.0,45343.0,25582603.30814784,4268692.400195163,76901377.5403381,133815043.62085314,101347465.61763236,129879342.69205566,471794525.1792223,100903584.26667929,0.24668886780579716,1068225.5981280403,0.010430292325791022,99815909.79182664,0.4345580011447542,19448.87672461795,0.0002528427947350259,9070.0,72560.0,17469.0,34938.0,156.0,57876.0,17810.47878556098,163856.404827161,8038.1268186742245,852041.4427794678,22352.999999999996,536472.0,1859.05965599804,14872.47724798432,20505.622668240958,20037.22081595889,7581.49288932915,917.4989160923334,163287.91798411187,0.7553131443187099,1.0,43674292.6895185
run_1984_20260417_042227_3hr_Optimal_1058s,1984,3,Optimal,1057.6561076790094,78956368755.0812,74363.16836540253,486709870.68884194,172532950.4916975,151120236.06547168,3022372.547435834,94892861.2380657,65141450.34617131,4999.0,20200.0,89494.31441001336,19843.0,36400.0,45343.0,27505102.53282802,4700245.372180763,94895815.39495245,133052236.70473808,86165987.11846659,130816588.43039146,477135975.5535574,80330699.28660639,0.20481600576728923,2415874.610220687,0.027272791100517484,77874515.04245229,0.37315685118601133,40309.63393340612,0.00042459742191016607,9070.0,72560.0,17469.0,34938.0,156.0,57876.0,27542.21158241722,253388.3465582384,12660.446547997246,1342007.3340877078,22353.000000000044,536472.000000001,1859.05965599804,14872.47724798432,26968.359958875495,23262.6411510721,12549.929636117522,917.4989160923334,165147.58062460617,0.7613075257304783,1.0,60001473.689306796
run_1985_20260417_044008_3hr_Optimal_694s,1985,3,Optimal,693.6527362558991,81139217909.96992,79736.94714378596,492081711.5599227,172532950.4916975,156492076.93655244,3022372.547435834,94892861.2380657,65141450.34617131,4999.0,20199.999999999996,124181.20325430157,19843.0,36400.0,45343.0,28386637.398849897,6373673.595942476,127176110.22032644,129630762.67879924,78825297.64433286,111784936.9514354,482177418.4896863,110145642.03255585,0.2573905326491113,8046466.341477386,0.092624645480825,97094051.58120878,0.4648339800153869,5005124.109869679,0.03786561787860597,9070.0,72560.0,17469.0,34938.0,156.0,57876.0,33248.72855245832,305888.3026826165,13097.618332492995,1388347.5432442573,22353.000000000004,536472.0,1859.05965599804,14872.47724798432,26269.13909244226,30858.044078007122,12830.552340051003,917.4989160923334,165837.57941140482,0.7561391663208579,1.0,60947092.04211579
