year,cf_pv_annual_mean,cf_pv_summer_mean,cf_pv_winter_mean,cf_onshore_annual_mean,cf_offshore_annual_mean,cf_onshore_DJF,cf_onshore_MAM,cf_onshore_JJA,cf_onshore_SON,cf_offshore_DJF,cf_offshore_MAM,cf_offshore_JJA,cf_offshore_SON,cf_vres_combined_annual,cf_vres_combined_winter,wind_drought_max_hours,dark_doldrums_hours,heat_demand_annual_mwh,heat_demand_peak_mw,heat_demand_winter_mean,heat_demand_summer_mean,cop_annual_mean,cop_winter_mean,cop_summer_mean,cop_min_hourly,cold_stress_hours_cop_lt2,elec_for_heat_annual_mwh,elec_for_heat_peak_mw,elec_for_heat_winter_mean,stress_vres_low,stress_elec_for_heat,stress_heat_peak,stress_elec_for_heat_peak,stress_wind_drought,stress_doldrums,stress_cold_cop,stress_energy_block,stress_peak_block,stress_persistence_block,stress_score,primary_stress_block,secondary_stress_block,primary_stress_driver
1960,0.12535248384838754,0.19933210853259406,0.05753014967518539,0.23365199524380936,0.5274970127640278,0.2849772046838563,0.2142434851604622,0.18142609566187182,0.2553124000746001,0.6051031470477541,0.5348628127832561,0.41412256622717436,0.5579172698418975,0.2716482848696838,0.2890666837129469,58,218,151205460.98974028,32122.411869899537,23648.536897088765,11719.465618454657,2.0802696983926774,1.6544540458600439,2.607666081297678,1.29334859323057,5183,79996451.60200872,22375.09086080926,14578.326996241607,0.7132599358677334,0.5439169372846016,0.5794199007666839,0.5607840625449378,0.16666666666666666,0.3992248062015504,0.6956810631229235,0.6285884365761675,0.5701019816558108,0.4205241786637135,0.5397381989652307,energy,peak,low_vres
1961,0.12621537956099455,0.21593365972727654,0.05079777767178672,0.2735419739977734,0.5907156707651049,0.3070947959775325,0.3161365165743155,0.19363067153317223,0.2780846985200054,0.6243031413518814,0.6340283015160431,0.5187016368470664,0.5865140964636036,0.30053458069015954,0.2618995284429701,56,134,149365891.55990052,33761.15439471252,22552.061223158114,11420.61799258075,2.10516179603722,1.6966302794653294,2.6447631991092795,1.27324608840139,4785,78351533.76344614,23902.63249434244,13550.365662784468,0.21543220493190174,0.47023527249040875,0.7131744385595199,0.6918229025693173,0.14583333333333334,0.07364341085271318,0.4312292358803987,0.34283373871115524,0.7024986705644186,0.21690199335548174,0.4207448008770185,peak,energy,peak_heat
1962,0.12460434955164813,0.22021359947194222,0.04956692559450036,0.2778717266185339,0.5463201067600514,0.420446548126523,0.2476332706889148,0.20537637566313285,0.24072641120867505,0.7254487810444982,0.4738605151745013,0.46049938515608924,0.5291795367362592,0.28755229432484947,0.3839549644874659,103,263,156018222.11472836,31949.52286584894,22359.787791584462,12971.889307701575,2.030665778905448,1.6938870825834877,2.4481261724653747,1.28797264575281,5326,83968550.9639248,22218.883674993525,13412.938103436434,0.43916951634655216,0.7218412608299525,0.5653086609128878,0.5473839639921921,0.6354166666666666,0.5736434108527132,0.7906976744186046,0.5805053885882523,0.55634631245254,0.6665859173126615,0.6011458727844845,persistence,energy,cold_cop_hours
1963,0.1287122872697417,0.23115919744711863,0.06193674390978108,0.23355290252232352,0.47815375998508386,0.2493389071526698,0.21295036290653532,0.14497188983350065,0.3283237420310385,0.505857028851584,0.4465920290060755,0.3853343389420344,0.5765029005130434,0.2584128756613963,0.2255911448972018,58,286,156052549.7365199,35689.3686031533,26759.58737876543,11475.29747726064,2.0913233936362556,1.5581864687901748,2.661338512555332,1.26245189182254,4767,84682177.06543362,25896.176943568462,17482.129459178104,0.9413595778266187,0.7538070879169201,0.8705557210431788,0.8628373917517781,0.16666666666666666,0.6627906976744186,0.4192691029900332,0.8475833328717695,0.8666965563974784,0.4162421557770395,0.7101740150154292,peak,energy,low_vres
1964,0.12701905402834618,0.22829228280598957,0.05831077860394598,0.2436087635524971,0.520000057561278,0.34149427220865863,0.1870931010530308,0.1472719745028794,0.30133106864547726,0.5996140369698805,0.5298906778598408,0.4599474052548428,0.4919742201761134,0.2725645366216611,0.30642868194036377,69,225,153517261.1728623,31867.986568247165,23957.832391864573,11351.113342611432,2.078257613814481,1.6364559596963755,2.685313169993167,1.31454184023087,5109,82175603.6034963,22207.617230089607,14883.569806533276,0.6974692116610834,0.6415288322650291,0.5586536497479647,0.5464174817445081,0.28125,0.4263565891472868,0.6465116279069767,0.6694990219630563,0.5525355657462364,0.4513727390180879,0.5578024422424602,energy,peak,low_vres
1965,0.12373743119262269,0.20969366911659945,0.056324975681541316,0.28438221362236676,0.581527967331123,0.4094313694207786,0.24750427489111493,0.22006832387558994,0.26301105096436234,0.6639395631909668,0.5567077769165839,0.541663856547559,0.5654171110985904,0.29924764223031525,0.31186802392701124,69,204,156735442.49561283,32955.83244184193,23450.53111407487,12308.55059816453,2.027040587587009,1.6554552926746473,2.522041466247526,1.29972224041762,5347,84587841.67664799,23213.819740875926,14393.497395125187,0.23761136065681823,0.7495814735234336,0.6474438775045289,0.6327336952922115,0.28125,0.3449612403100775,0.8046511627906977,0.4935964170901259,0.6400887863983702,0.4769541343669251,0.5368797792851404,peak,energy,cold_cop_hours
1966,0.1197086303197203,0.21447087508350138,0.04876736826483051,0.24419097201548548,0.5466990562849503,0.32157211359414856,0.22807597822501738,0.16929453759681976,0.2596717264458221,0.5804744156930093,0.5853112550416445,0.47220258575445806,0.5495734591032373,0.2773223051220931,0.2625027361699745,57,194,150350587.53027266,30820.31676463102,23529.62190561401,11400.292784992454,2.10695451587067,1.6685012598417468,2.6674086273528195,1.29496516598247,4743,79249120.9737904,21051.61825743877,14461.853585461602,0.6154736137620573,0.5104413657101979,0.4731426019656533,0.4472511080626548,0.15625,0.3062015503875969,0.4033222591362126,0.5629574897361276,0.460196855014154,0.2885912698412698,0.4372485381971838,energy,peak,low_vres
1967,0.1214671853735017,0.21717718858984372,0.051165292320886305,0.2877090590115353,0.5634439479369748,0.43077051600820376,0.3070659040554666,0.12023287299422185,0.29596673197693096,0.6161176711023021,0.5635349830756244,0.42390849030925604,0.6523258356745011,0.2935911573852176,0.304867241727187,59,236,147466460.2587652,30489.406936069863,23057.95120917115,11739.743630235342,2.1341484842622704,1.677904594085166,2.637103159982219,1.30807432887958,4607,76772187.6414409,20750.274998925746,14007.95907396468,0.33509547675839907,0.3994907958803867,0.44613366645557034,0.42140063683629664,0.17708333333333334,0.4689922480620155,0.3129568106312292,0.36729313631939287,0.4337671516459335,0.3196774640088593,0.3735792506580619,peak,energy,dark_doldrums
1968,0.1227798679557506,0.21276571385328458,0.04781837630111229,0.2399330277898178,0.5235206494730626,0.2552833549308061,0.27599896555579684,0.18710932553688694,0.24169330130751682,0.5208352725617854,0.5922500584049881,0.4454939376261422,0.5355759878268477,0.27078176966433715,0.2820789536478239,138,309,150597530.0263154,30888.415873467067,22971.818156471487,11576.436677116657,2.0995371542668706,1.6747577876767976,2.634807765611634,1.31357736001115,4755,79629863.91230372,21187.499325035667,13977.11434080347,0.7281934981763122,0.5274961832278975,0.47870086672570694,0.45890754811528184,1.0,0.751937984496124,0.4112956810631229,0.6278448407021049,0.4688042074204944,0.721077888519749,0.6059089788807827,persistence,energy,wind_drought
1969,0.12657086009935073,0.21683709083215727,0.055062603571989756,0.27883926272864007,0.5416993278617519,0.3076498550286536,0.2639014425444353,0.19030478897482508,0.3549546224571742,0.532091809181076,0.5488408635283814,0.4580516293232442,0.6285481593504727,0.2873085220984449,0.2862474500915778,58,287,156190479.0981371,33841.09493025704,24280.80191546366,11728.858560727369,2.0730702171710966,1.631276702500776,2.625130690520377,1.27112610421995,4911,84547048.22615008,24090.598661202195,15168.17979752345,0.4433706979411182,0.7477541911662722,0.7196992032621929,0.7079474178875417,0.16666666666666666,0.6666666666666666,0.5149501661129569,0.5955624445536952,0.7138233105748673,0.44942783314876333,0.5862711960924419,peak,energy,annual_electricity_for_heat
